Patent_Year,country,Country_Code,labor_force_part_15_64
2000,Canada,CA,76.18
2000,China,CN,82.58
2000,Germany,DE,71.56
2000,France,FR,68.64
2000,Italy,IT,59.81
2000,Japan,JP,72.55
2000,South Korea,KR,64.31
2000,Sweden,SE,77.74
2000,United Kingdom,GB,75.17
2000,United States,US,76.43
2001,Canada,CA,76.35
2001,China,CN,81.9
2001,Germany,DE,71.77
2001,France,FR,68.35
2001,Italy,IT,60.25
2001,Japan,JP,72.68
2001,South Korea,KR,64.59
2001,Sweden,SE,78.05
2001,United Kingdom,GB,74.72
2001,United States,US,75.93
2002,Canada,CA,77.42
2002,China,CN,81.1
2002,Germany,DE,72.06
2002,France,FR,68.68
2002,Italy,IT,61.05
2002,Japan,JP,72.45
2002,South Korea,KR,65.29
2002,Sweden,SE,77.8
2002,United Kingdom,GB,74.87
2002,United States,US,75.42
2003,Canada,CA,78.19
2003,China,CN,80.25
2003,Germany,DE,72.64
2003,France,FR,69.56
2003,Italy,IT,61.82
2003,Japan,JP,72.51
2003,South Korea,KR,65.17
2003,Sweden,SE,77.82
2003,United Kingdom,GB,74.89
2003,United States,US,74.78
2004,Canada,CA,78.16
2004,China,CN,79.45
2004,Germany,DE,72.67
2004,France,FR,69.48
2004,Italy,IT,63.02
2004,Japan,JP,72.4
2004,South Korea,KR,66.05
2004,Sweden,SE,77.6
2004,United Kingdom,GB,74.89
2004,United States,US,74.35
2005,Canada,CA,77.77
2005,China,CN,78.78
2005,Germany,DE,74.04
2005,France,FR,69.59
2005,Italy,IT,62.56
2005,Japan,JP,72.69
2005,South Korea,KR,66.09
2005,Sweden,SE,78.25
2005,United Kingdom,GB,75.22
2005,United States,US,74.26
2006,Canada,CA,77.75
2006,China,CN,78.24
2006,Germany,DE,74.95
2006,France,FR,69.54
2006,Italy,IT,62.61
2006,Japan,JP,72.95
2006,South Korea,KR,66.06
2006,Sweden,SE,78.81
2006,United Kingdom,GB,75.57
2006,United States,US,74.37
2007,Canada,CA,78.33
2007,China,CN,77.84
2007,Germany,DE,75.68
2007,France,FR,69.66
2007,Italy,IT,62.37
2007,Japan,JP,73.51
2007,South Korea,KR,66.01
2007,Sweden,SE,79.23
2007,United Kingdom,GB,75.4
2007,United States,US,74.11
2008,Canada,CA,78.46
2008,China,CN,77.52
2008,Germany,DE,75.94
2008,France,FR,69.79
2008,Italy,IT,62.84
2008,Japan,JP,73.75
2008,South Korea,KR,65.61
2008,Sweden,SE,79.39
2008,United Kingdom,GB,75.68
2008,United States,US,74.04
2009,Canada,CA,78.02
2009,China,CN,77.19
2009,Germany,DE,76.37
2009,France,FR,70.13
2009,Italy,IT,62.19
2009,Japan,JP,73.98
2009,South Korea,KR,64.95
2009,Sweden,SE,78.86
2009,United Kingdom,GB,75.49
2009,United States,US,73.3
2010,Canada,CA,77.91
2010,China,CN,76.79
2010,Germany,DE,76.73
2010,France,FR,70.17
2010,Italy,IT,62.02
2010,Japan,JP,74.17
2010,South Korea,KR,65.34
2010,Sweden,SE,78.96
2010,United Kingdom,GB,75.25
2010,United States,US,72.55
2011,Canada,CA,77.84
2011,China,CN,76.69
2011,Germany,DE,77.44
2011,France,FR,70.05
2011,Italy,IT,62.15
2011,Japan,JP,74.05
2011,South Korea,KR,65.72
2011,Sweden,SE,79.7
2011,United Kingdom,GB,75.35
2011,United States,US,71.96
2012,Canada,CA,77.82
2012,China,CN,76.58
2012,Germany,DE,77.36
2012,France,FR,70.58
2012,Italy,IT,63.57
2012,Japan,JP,74.21
2012,South Korea,KR,66.04
2012,Sweden,SE,80.07
2012,United Kingdom,GB,75.87
2012,United States,US,72.12
2013,Canada,CA,78.02
2013,China,CN,76.46
2013,Germany,DE,77.7
2013,France,FR,71.01
2013,Italy,IT,63.38
2013,Japan,JP,75.09
2013,South Korea,KR,66.27
2013,Sweden,SE,80.99
2013,United Kingdom,GB,76.25
2013,United States,US,71.67
2014,Canada,CA,77.74
2014,China,CN,76.35
2014,Germany,DE,77.71
2014,France,FR,70.94
2014,Italy,IT,63.95
2014,Japan,JP,75.69
2014,South Korea,KR,67.55
2014,Sweden,SE,81.53
2014,United Kingdom,GB,76.55
2014,United States,US,71.58
