Patent_Year,country,Country_Code,patent_apps
2000,Canada,CA,4187
2000,China,CN,25346
2000,Germany,DE,51736
2000,France,FR,13870
2000,Italy,IT,7877
2000,Japan,JP,384201
2000,South Korea,KR,72831
2000,Sweden,SE,4224
2000,United Kingdom,GB,22050
2000,United States,US,164795
2001,Canada,CA,3963
2001,China,CN,30038
2001,Germany,DE,49989
2001,France,FR,13499
2001,Italy,IT,
2001,Japan,JP,382815
2001,South Korea,KR,73714
2001,Sweden,SE,3926
2001,United Kingdom,GB,21423
2001,United States,US,177513
2002,Canada,CA,3959
2002,China,CN,39806
2002,Germany,DE,47598
2002,France,FR,13519
2002,Italy,IT,
2002,Japan,JP,365204
2002,South Korea,KR,76570
2002,Sweden,SE,3358
2002,United Kingdom,GB,20624
2002,United States,US,184245
2003,Canada,CA,3929
2003,China,CN,56769
2003,Germany,DE,47818
2003,France,FR,13511
2003,Italy,IT,
2003,Japan,JP,358184
2003,South Korea,KR,90313
2003,Sweden,SE,3025
2003,United Kingdom,GB,20426
2003,United States,US,188941
2004,Canada,CA,5231
2004,China,CN,65786
2004,Germany,DE,48448
2004,France,FR,14230
2004,Italy,IT,
2004,Japan,JP,368416
2004,South Korea,KR,105250
2004,Sweden,SE,2768
2004,United Kingdom,GB,19178
2004,United States,US,189536
2005,Canada,CA,5183
2005,China,CN,93485
2005,Germany,DE,48367
2005,France,FR,14327
2005,Italy,IT,
2005,Japan,JP,367960
2005,South Korea,KR,122188
2005,Sweden,SE,2522
2005,United Kingdom,GB,17833
2005,United States,US,207867
2006,Canada,CA,5522
2006,China,CN,122318
2006,Germany,DE,48012
2006,France,FR,14529
2006,Italy,IT,
2006,Japan,JP,347060
2006,South Korea,KR,125476
2006,Sweden,SE,2446
2006,United Kingdom,GB,17484
2006,United States,US,221784
2007,Canada,CA,4998
2007,China,CN,153060
2007,Germany,DE,47853
2007,France,FR,14722
2007,Italy,IT,9255
2007,Japan,JP,333498
2007,South Korea,KR,128701
2007,Sweden,SE,2527
2007,United Kingdom,GB,17375
2007,United States,US,241347
2008,Canada,CA,5061
2008,China,CN,194579
2008,Germany,DE,49240
2008,France,FR,14658
2008,Italy,IT,8588
2008,Japan,JP,330110
2008,South Korea,KR,127114
2008,Sweden,SE,2549
2008,United Kingdom,GB,16523
2008,United States,US,231588
2009,Canada,CA,5067
2009,China,CN,229096
2009,Germany,DE,47859
2009,France,FR,14100
2009,Italy,IT,8814
2009,Japan,JP,295315
2009,South Korea,KR,127316
2009,Sweden,SE,2186
2009,United Kingdom,GB,15985
2009,United States,US,224912
2010,Canada,CA,4550
2010,China,CN,293066
2010,Germany,DE,47047
2010,France,FR,14748
2010,Italy,IT,8877
2010,Japan,JP,290081
2010,South Korea,KR,131805
2010,Sweden,SE,2196
2010,United Kingdom,GB,15490
2010,United States,US,241977
2011,Canada,CA,4754
2011,China,CN,415829
2011,Germany,DE,46986
2011,France,FR,14655
2011,Italy,IT,8794
2011,Japan,JP,287580
2011,South Korea,KR,138034
2011,Sweden,SE,2004
2011,United Kingdom,GB,15343
2011,United States,US,247750
2012,Canada,CA,4709
2012,China,CN,535313
2012,Germany,DE,46620
2012,France,FR,14540
2012,Italy,IT,8439
2012,Japan,JP,287013
2012,South Korea,KR,148136
2012,Sweden,SE,2288
2012,United Kingdom,GB,15370
2012,United States,US,268782
2013,Canada,CA,4567
2013,China,CN,704936
2013,Germany,DE,47353
2013,France,FR,14690
2013,Italy,IT,8307
2013,Japan,JP,271731
2013,South Korea,KR,159978
2013,Sweden,SE,2332
2013,United Kingdom,GB,14972
2013,United States,US,287831
2014,Canada,CA,4198
2014,China,CN,801135
2014,Germany,DE,48154
2014,France,FR,14500
2014,Italy,IT,8601
2014,Japan,JP,265959
2014,South Korea,KR,164073
2014,Sweden,SE,1984
2014,United Kingdom,GB,15196
2014,United States,US,285096
